"Age","Etablissement","Classe","Domicile","Temps_Maths.mn.","Auto_eval_Maths","Temps_Sciences.mn.","Temps_Francais.mn.","Moyenne_Maths","Travail_Parents","Cours_Particuliers","Difficultes_6e","Changements_Parcours","Projets_BAC","Difficultes_Langue","Langue_Maternelle","Ne_Mayotte","Acces_Internet"
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",120,4,240,420,5,0,0,0,1,"ecole_spécialisée",0,"shimaoré",1,1
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,5,60,120,5,0,0,1,1,"université",1,"shimaoré",0,0
15,"Collège de Ouangani","Quatrième","Commune de Ouangani",60,7,60,45,7,0,0,1,1,"ecole_spécialisée",1,"shimaoré",0,1
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",120,10,60,120,10,1,1,1,1,"ecole_spécialisée",1,"français",1,0
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",120,4,120,120,5,0,0,1,0,"ecole_spécialisée",0,"shimaoré",1,0
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,7,60,60,7,0,0,1,0,"université",0,"shimaoré",0,0
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",120,10,420,300,10,0,0,1,0,"université",0,NA,0,1
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",5,3,25,60,5,1,0,0,0,"université",0,NA,1,1
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",10,5,40,50,4,1,0,0,0,"université",0,"shimaoré",0,0
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,1,60,60,1,1,0,1,1,"ecole_spécialisée",0,NA,1,1
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",120,5,60,240,5,1,0,1,0,"université",1,"shimaoré",1,1
15,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,5,60,120,4,0,0,1,1,"ecole_spécialisée",1,"shimaoré",0,0
17,"Lycée de Dembéni","Première","Commune de Mamoudzou",120,NA,120,120,7,0,0,0,1,"université",1,"shimaoré",1,0
17,"Lycée Younoussa Bamana","Première STI2D","Commune de Mamoudzou",300,6,300,180,6,0,0,1,1,"université",0,"shimaoré",1,1
17,"Lycée des Lumières","Terminale STMG","Commune de Mamoudzou",0,9,120,240,8,0,0,0,1,"bts",0,"français",1,1
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",60,5,60,60,10,1,1,0,1,"réflexion",0,"shimaoré",1,1
