Age,Etablissement,Classe,Commune de  domicile,Heures_Maths,Auto_eval_Maths,Heures_Sciences,Heures_Francais,Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Lieu_Brevet,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet,Notion_Maths,Expression_Libre
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,180,8,180,240.0,8.0,0.0,0,1,,1,,0,Français,1,1,Additions,
11.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60,10,20,50.0,10.0,1.0,0,1,,1,,0,Shimaoré,1,1,Additions,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,120,8,180,60.0,8.0,1.0,0,0,,0,,0,Français,0,1,Scratch-Additions-Multiplications,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,8,60,60.0,2.0,1.0,0,1,,0,,1,Shimaoré,0,0,Scratch,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60,7,180,60.0,5.0,0.0,0,0,college de ouangani,1,Réflexion,0,Shimaoré,1,1,Aucune ,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60,1,0,0.0,,1.0,0,1,,0,,0,kibushi,1,1, Théorème de pythagore ,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,300,9,120,360.0,9.0,0.0,1,0,,0,Université,1,Shimaoré,0,0,Théorème de pythagore,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,15,9,120,15.0,9.0,1.0,0,0, ,0,Université,0,kibushi,1,1,Théorèmes ,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,180,5,60,240.0,5.0,0.0,0,1,,0, BTS,0,Shimaoré,1,1,Calculs,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120,,240,120.0,8.0,1.0,0,0,,0,Ecole spécialisée,0,Shimaoré,1,1,Aucune,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,,300,,,0.0,0,1,,1,Ecole spécialisée,0,Shimaoré,1,0,,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,15,9,15,15.0,9.0,1.0,0,0,,0,Université,0,kibushi,1,1,Théorèmes,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120,5,60,60.0,5.0,0.0,1,1,,0,Ecole spécialisée,0,Shimaoré,1,0,,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,300,8,120,360.0,8.0,1.0,0,0,,1,Ecole spécialisée,0,Malgache,0,0,Triangles semblables,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120,,180,60.0,6.0,1.0,0,0,,0,Université,0,Shimaoré,1,1,Théorème de pythagore,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60,5,60,30.0,5.0,1.0,0,0,,0,,0,Shimaoré,1,1,Théorème de pythagore,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120,3,180,120.0,5.0,1.0,0,0,,1,Ecole spécialisée,0,Shimaoré,1,1,Aucune,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,180,,360,300.0,9.0,0.0,0,0,,0,Université,0,Shimaoré,1,0,Fractions,
15.0,Collège de Ouangani,Quatrième,Commune de Ouangani,960,,960,15.0,7.0,0.0,0,0,,0,Université,0,Shimaoré,,0,Aucune,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60,,60,60.0,6.0,0.0,1,1,,1,Ecole spécialisée,0,Shimaoré,1,0,Fractions,
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,30,,30,30.0,9.0,1.0,0,0,,0,,0,Shimaoré,1, 1,Aucune,
12.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60,2,240,180.0,2.0,1.0,0,1,,1,Université ,0,Shimaoré,1,0,Calculs,
22.0,Lycée des Lumières,1mcvAPP,Commune de Koungou,120,6,120,120.0,8.0,0.0,0,1,collèges k2,,Université,1,Shimaoré,1,1,,Pas bien compris
16.0,Lycée de Dembéni,Terminale,Commune de Mamoudzou,0,5,0,0.0,5.0,1.0,0,0,,1, ,0,Français,1,1, Aucune ,Plus d’enseignement sur l’informatique serait nécessaire 
17.0,Lycée de Dembéni,Terminale,Commune de M'Tsangamouji,0,5,60,0.0,4.0,1.0,0,0,collège de M’Tsangamouji ,1,Ecole spécialisée,0,kibushi,1,1,Théorème de thalès,Il suffit d’avoir un bon prof pour un élève qui veut apprendre pour bien comprendre. Mais après l’investissement de l’élève peut en effet changer la donne 
17.0,Lycée Younoussa Bamana,Terminale,Commune de Mamoudzou,0,5,60,120.0,5.0,1.0,0,1,Collège M'Gombani ,1,BTS,0,Shimaoré,1,1,Théorème de pythagore,Neutre difficile 
17.0,Lycée de Dembéni,Première,Commune de Mamoudzou,60,7,0,480.0,7.0,1.0,0,1,,1,Université,0,Shimaoré,0,1,Trigonométrie,Hyper passionnant mais trop stressant 
18.0,Lycée de Dembéni,Terminale,Commune de Dembeni,0,6,0,60.0,6.0,1.0,0,1,Collège Dembeni,1,Université ,0,Français,1,1,Fractions,J'ai perdu mon esprit mathématique par manque de confiance en moi 
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,7,0,0.0,7.0,1.0,0,0,,0,Réflexion,0,Shimaoré,1,0,Calculs,depuis la sixième les profs de math que J'ai eu mon bien enseigner les cours et je crois de demain j'aurai une belle vie grâce au mathématique je remercie tout mes profs de maths merci a vous !
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,9,0,0.0,9.0,1.0,0,0, ,0,Université,,Shimaoré,1,1,Multiplications ,"Ils faut adapter ou aider les personne en difficulté selon leurs class qu'importe l'age ( cours particulier , cours de soutiens etc... )"
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,4,0,0.0,4.0,1.0,0,1,,0,Université,0,kiboushi et  kimaore,1,1,Aucune,pas compris
13.0,e15,Quatrième,Commune de Ouangani,60,8,120,60.0,5.0,1.0,0,1,,0,Université,,Shimaoré,1,0,le geographi**,je c'est pas
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60,5,120,0.0,5.0,1.0,0,1,,1,,0,Shimaoré,1,1,Toute,j aime etudier les math est apprendre beaucoup de choses
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,240,9,120,60.0,9.0,1.0,0,0,,0,Université,0,Shimaoré,1,1,Aucune,J'ai pas compris vous pouvez reformulez la phrase s'il vous plait.
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,1,0,60.0,,1.0,0,1,,1,Ecole spécialisée,0,Shimaoré,1,1,Additions,c'est difficile WESH
16.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,3,180,240.0,3.0,0.0,0,1,,0,Réflexion,0,Shimaoré,1,0,Calcul mental,"je sais pas"
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,3,0,0.0,3.0,0.0,0,0,,0,Ecole spécialisée,0,Shimaoré,1,0,Additions,NON
14.0,e15,Quatrième,Commune de Ouangani,180,10,180,60.0,,0.0,0,1,,0,,,,0,0,Divisions,non
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60,5,60,120.0,3.0,0.0,0,1,college de ouangani,1,Ecole spécialisée,,kibushi,1,1,Calculs,","
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,180,5,60,240.0,4.0,0.0,1,1,college de Ouagani,1,,0,Shimaoré,1,0,,.
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,5,600,300.0,8.0,1.0,0,0,college de ouangani,0,,0,Shimaoré,1,1,Puissances,j'ai rien à redire sur le système
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120,4,240,420.0,5.0,0.0,0,0,college de ouangani,1,Ecole spécialisée,0,Shimaoré,1,1,Aucune,0
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,5,60,120.0,5.0,0.0,0,1,,1,Université,1,Shimaoré,0,0,Fractions,c'est bien mais parfois difficile 
15.0,Collège de Ouangani,Quatrième,Commune de Ouangani,60,7,60,45.0,7.0,0.0,0,1,college de ouangani,1,Ecole spécialisée,1,Shimaoré,0,1,calcul litteral,c'est tres difficile
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120,10,60,120.0,10.0,1.0,1,1,,1,Ecole spécialisée ,1,Français,1,0,Fractions,oui
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120,4,120,120.0,5.0,0.0,0,1,college de ouangani,0,Ecole spécialisée,0,Shimaoré,1,0,Toute,.
14.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,7,60,60.0,7.0,0.0,0,1,college de ouangani,0,,0,Shimaoré,0,0,Théorème de pythagore,difficile
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,120,10,420,300.0,10.0,0.0,0,1,,,,,,0,1,,NON
