Age,Etablissement,Classe,Commune de  domicile,Temps_Maths(mn),Auto_eval_Maths,Temps_Sciences(mn),Temps_Francais(mn),Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,30.0,,180.0,60.0,4.5,1.0,0.0,1.0,1.0,Université,1.0,Shimaoré,1.0,1.0
18.0,Lycée des Lumières,Terminale,Commune de Koungou,420.0,,1260.0,300.0,3.0,0.0,0.0,0.0,0.0,Université,1.0,Shimaoré,1.0,0.0
18.0,Lycée des Lumières,BTS,Commune de Mamoudzou,120.0,4.0,240.0,180.0,5.0,0.0,0.0,0.0,1.0,Ecole de Commerce,1.0,Shimaoré,1.0,1.0
17.0,Lycée de Dembéni,Première,Commune de Pamandzi,60.0,7.0,60.0,240.0,7.0,0.0,0.0,0.0,1.0,Université,0.0,Shimaoré,0.0,1.0
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0.0,1.0,600.0,0.0,7.0,1.0,0.0,0.0,1.0,Travailler,0.0,Shimaoré,1.0,0.0
11.0,Collège de Ouangani,Sixième,Commune de Ouangani,60.0,,60.0,120.0,9.0,1.0,1.0,1.0,1.0,Réflexion,1.0,Français,1.0,1.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60.0,10.0,60.0,120.0,10.0,0.0,0.0,0.0,1.0,Réflexion,0.0,kibushi,1.0,1.0
14.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,5.0,120.0,60.0,8.0,1.0,1.0,0.0,0.0,,0.0,Français,1.0,0.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,240.0,8.0,60.0,180.0,9.0,1.0,0.0,0.0,0.0,,0.0,Shimaoré,1.0,0.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,120.0,,60.0,120.0,10.0,1.0,0.0,0.0,0.0,Ecole spécialisée,0.0,Français,0.0,1.0
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,8.0,120.0,0.0,8.0,1.0,0.0,0.0,0.0,,0.0,Shimaoré,0.0,0.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,120.0,7.0,120.0,60.0,6.0,0.0,0.0,1.0,0.0,,0.0,Shimaoré,1.0,1.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60.0,,240.0,600.0,1.0,1.0,0.0,1.0,0.0,Université,1.0,Shimaoré,0.0,1.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60.0,9.0,60.0,60.0,,,0.0,1.0,0.0,,1.0,kibushi,1.0,1.0
15.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,7.0,60.0,600.0,8.0,1.0,1.0,0.0,0.0,Ecole spécialisée,0.0,Shimaoré,1.0,1.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0.0,4.0,240.0,120.0,4.0,1.0,1.0,0.0,0.0,,0.0,Shimaoré,1.0,0.0
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60.0,7.0,60.0,60.0,4.0,1.0,0.0,0.0,0.0,,1.0,Shimaoré,1.0,1.0
